,ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand_High,PriceBand_Low,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType,DisplayName,PriceNumerator,PriceDenominator,DetailedDescription
10,BSEFO,823144,2,BANKEX,BANKEX25FEB60900PE,IO,BANKEX-IO,12505600823144,4613.35,1823.25,900,0.05,30,1,-1,BANKEX,2025-02-25T00:00:00,60900,4,BANKEX 25FEB2025 PE 60900,1,1,BANKEX25FEB60900PE
11,BSEFO,823844,2,SENSEX50,SENSEX5025FEB24700PE,IO,SENSEX50-IO,12505600823844,637.5,45,1800,0.05,60,1,-1,SNSX50,2025-02-25T00:00:00,24700,4,SENSEX50 25FEB2025 PE 24700,1,1,SENSEX5025FEB24700PE
12,BSEFO,838021,2,SENSEX,SENSEX25MAR78400PE,IO,SENSEX-IO,12508400838021,3270.65,1238.55,1000,0.05,20,1,-1,SENSEX,2025-03-25T00:00:00,78400,4,SENSEX 25MAR2025 PE 78400,1,1,SENSEX25MAR78400PE
13,BSEFO,1166374,2,SENSEX,SENSEX25JAN75100CE,IO,SENSEX-IO,12502801166374,6168.1,1625.3,1000,0.05,10,1,-1,SENSEX,2025-01-28T00:00:00,75100,3,SENSEX 28JAN2025 CE 75100,1,1,SENSEX25JAN75100CE
14,BSEFO,1166124,2,SENSEX50,SENSEX5025JAN25400CE,IO,SENSEX50-IO,12502801166124,545.35,0.05,1800,0.05,25,1,-1,SNSX50,2025-01-28T00:00:00,25400,3,SENSEX50 28JAN2025 CE 25400,1,1,SENSEX5025JAN25400CE
15,BSEFO,1165948,2,SENSEX50,SENSEX5025JAN25100CE,IO,SENSEX50-IO,12502801165948,750.05,0.05,1800,0.05,25,1,-1,SNSX50,2025-01-28T00:00:00,25100,3,SENSEX50 28JAN2025 CE 25100,1,1,SENSEX5025JAN25100CE
16,BSEFO,1174120,2,SENSEX,SENSEX2510376500CE,IO,SENSEX-IO,12500301174120,4398.65,0.05,1000,0.05,10,1,-1,SENSEX,2025-01-03T00:00:00,76500,3,SENSEX 03JAN2025 CE 76500,1,1,SENSEX2510376500CE
17,BSEFO,825144,2,SENSEX,SENSEX2510385000PE,IO,SENSEX-IO,12500300825144,9454.25,4173.4,1000,0.05,10,1,-1,SENSEX,2025-01-03T00:00:00,85000,4,SENSEX 03JAN2025 PE 85000,1,1,SENSEX2510385000PE
18,BSEFO,825540,2,SENSEX,SENSEX2512181900PE,IO,SENSEX-IO,12502100825540,6003.75,1502.85,1000,0.05,20,1,-1,SENSEX,2025-01-21T00:00:00,81900,4,SENSEX 21JAN2025 PE 81900,1,1,SENSEX2512181900PE
19,BSEFO,839536,2,SENSEX,SENSEX2520475000CE,IO,SENSEX-IO,12503500839536,6416.65,1926.95,1000,0.05,20,1,-1,SENSEX,2025-02-04T00:00:00,75000,3,SENSEX 04FEB2025 CE 75000,1,1,SENSEX2520475000CE
20,BSEFO,823857,2,SENSEX50,SENSEX5025FEB25650CE,IO,SENSEX50-IO,12505600823857,666.5,0.05,1800,0.05,60,1,-1,SNSX50,2025-02-25T00:00:00,25650,3,SENSEX50 25FEB2025 CE 25650,1,1,SENSEX5025FEB25650CE
21,BSEFO,823162,2,SENSEX,SENSEX2510384000CE,IO,SENSEX-IO,12500300823162,6.75,0.85,1000,0.05,10,1,-1,SENSEX,2025-01-03T00:00:00,84000,3,SENSEX 03JAN2025 CE 84000,1,1,SENSEX2510384000CE
22,BSEFO,822654,2,BANKEX,BANKEX25FEB57600CE,IO,BANKEX-IO,12505600822654,3203.1,772.1,900,0.05,30,1,-1,BANKEX,2025-02-25T00:00:00,57600,3,BANKEX 25FEB2025 CE 57600,1,1,BANKEX25FEB57600CE
23,BSEFO,1165359,2,BANKEX,BANKEX25JAN60700CE,IO,BANKEX-IO,12502801165359,627.55,0.05,900,0.05,15,1,-1,BANKEX,2025-01-28T00:00:00,60700,3,BANKEX 28JAN2025 CE 60700,1,1,BANKEX25JAN60700CE
24,BSEFO,825427,2,SENSEX,SENSEX25FEB85600CE,IO,SENSEX-IO,12505600825427,716.7,75.85,1000,0.05,20,1,-1,SENSEX,2025-02-25T00:00:00,85600,3,SENSEX 25FEB2025 CE 85600,1,1,SENSEX25FEB85600CE
25,BSEFO,825656,2,SENSEX,SENSEX2512184800CE,IO,SENSEX-IO,12502100825656,140.85,4.25,1000,0.05,20,1,-1,SENSEX,2025-01-21T00:00:00,84800,3,SENSEX 21JAN2025 CE 84800,1,1,SENSEX2512184800CE
26,BSEFO,837827,2,SENSEX,SENSEX25MAR83700PE,IO,SENSEX-IO,12508400837827,7288.5,3541.6,1000,0.05,20,1,-1,SENSEX,2025-03-25T00:00:00,83700,4,SENSEX 25MAR2025 PE 83700,1,1,SENSEX25MAR83700PE
27,BSEFO,820391,2,SENSEX,SENSEX2510373300CE,IO,SENSEX-IO,12500300820391,7520.1,2239.2,1000,0.05,10,1,-1,SENSEX,2025-01-03T00:00:00,73300,3,SENSEX 03JAN2025 CE 73300,1,1,SENSEX2510373300CE
28,BSEFO,837513,2,SENSEX,SENSEX2512176300PE,IO,SENSEX-IO,12502100837513,1160.25,15.55,1000,0.05,20,1,-1,SENSEX,2025-01-21T00:00:00,76300,4,SENSEX 21JAN2025 PE 76300,1,1,SENSEX2512176300PE
29,BSEFO,824122,2,SENSEX,SENSEX25FEB79900CE,IO,SENSEX-IO,12505600824122,3087.2,611.4,1000,0.05,20,1,-1,SENSEX,2025-02-25T00:00:00,79900,3,SENSEX 25FEB2025 CE 79900,1,1,SENSEX25FEB79900CE
30,BSEFO,824285,2,SENSEX,SENSEX2511477600CE,IO,SENSEX-IO,12501400824285,3323.85,0.05,1000,0.05,20,1,-1,SENSEX,2025-01-14T00:00:00,77600,3,SENSEX 14JAN2025 CE 77600,1,1,SENSEX2511477600CE
31,BSEFO,883063,2,SENSEX,SENSEX26JUN76000CE,IO,SENSEX-IO,12618100883063,14383.3,9943.9,1000,0.05,20,1,-1,SENSEX,2026-06-30T00:00:00,76000,3,SENSEX 30JUN2026 CE 76000,1,1,SENSEX26JUN76000CE
32,BSEFO,838884,2,SENSEX,SENSEX2520479000CE,IO,SENSEX-IO,12503500838884,2981.7,346.3,1000,0.05,20,1,-1,SENSEX,2025-02-04T00:00:00,79000,3,SENSEX 04FEB2025 CE 79000,1,1,SENSEX2520479000CE
33,BSEFO,839641,2,SENSEX,SENSEX25MAR74100CE,IO,SENSEX-IO,12508400839641,8272,3801.9,1000,0.05,20,1,-1,SENSEX,2025-03-25T00:00:00,74100,3,SENSEX 25MAR2025 CE 74100,1,1,SENSEX25MAR74100CE
34,BSEFO,1165090,2,BANKEX,BANKEX25JAN60800CE,IO,BANKEX-IO,12502801165090,592.35,0.05,900,0.05,15,1,-1,BANKEX,2025-01-28T00:00:00,60800,3,BANKEX 28JAN2025 CE 60800,1,1,BANKEX25JAN60800CE
35,BSEFO,1165112,2,BANKEX,BANKEX25JAN57000PE,IO,BANKEX-IO,12502801165112,1114,0.05,900,0.05,15,1,-1,BANKEX,2025-01-28T00:00:00,57000,4,BANKEX 28JAN2025 PE 57000,1,1,BANKEX25JAN57000PE
36,BSEFO,867221,2,SENSEX,SENSEX28JUN79000CE,IO,SENSEX-IO,12817900867221,21639.45,16895.55,1000,0.05,20,1,-1,SENSEX,2028-06-27T00:00:00,79000,3,SENSEX 27JUN2028 CE 79000,1,1,SENSEX28JUN79000CE
37,BSEFO,1165318,2,BANKEX,BANKEX25JAN59000PE,IO,BANKEX-IO,12502801165318,2556.8,163.1,900,0.05,15,1,-1,BANKEX,2025-01-28T00:00:00,59000,4,BANKEX 28JAN2025 PE 59000,1,1,BANKEX25JAN59000PE
38,BSEFO,1166454,2,SENSEX50,SENSEX5025JAN24250CE,IO,SENSEX50-IO,12502801166454,1512.7,212,1800,0.05,25,1,-1,SNSX50,2025-01-28T00:00:00,24250,3,SENSEX50 28JAN2025 CE 24250,1,1,SENSEX5025JAN24250CE
39,BSEFO,822198,2,SENSEX,SENSEX2510782600PE,IO,SENSEX-IO,12500700822198,6960.4,1724.3,1000,0.05,20,1,-1,SENSEX,2025-01-07T00:00:00,82600,4,SENSEX 07JAN2025 PE 82600,1,1,SENSEX2510782600PE
40,BSEFO,842606,2,SENSEX,SENSEX25JUN73000CE,IO,SENSEX-IO,12517500842606,10896.55,6339.45,1000,0.05,20,1,-1,SENSEX,2025-06-24T00:00:00,73000,3,SENSEX 24JUN2025 CE 73000,1,1,SENSEX25JUN73000CE
41,BSEFO,838474,2,SENSEX,SENSEX2511475400PE,IO,SENSEX-IO,12501400838474,519.5,0.05,1000,0.05,20,1,-1,SENSEX,2025-01-14T00:00:00,75400,4,SENSEX 14JAN2025 PE 75400,1,1,SENSEX2511475400PE
42,BSEFO,836332,2,SENSEX,SENSEX2512186100PE,IO,SENSEX-IO,12502100836332,10226.1,4996.3,1000,0.05,20,1,-1,SENSEX,2025-01-21T00:00:00,86100,4,SENSEX 21JAN2025 PE 86100,1,1,SENSEX2512186100PE
43,BSEFO,875898,2,SENSEX,SENSEX25MAR79000CE,IO,SENSEX-IO,12508400875898,4459.85,1412.35,1000,0.05,20,1,-1,SENSEX,2025-03-25T00:00:00,79000,3,SENSEX 25MAR2025 CE 79000,1,1,SENSEX25MAR79000CE
44,BSEFO,838876,2,SENSEX,SENSEX2510774300CE,IO,SENSEX-IO,12500700838876,6628.4,1396.95,1000,0.05,20,1,-1,SENSEX,2025-01-07T00:00:00,74300,3,SENSEX 07JAN2025 CE 74300,1,1,SENSEX2510774300CE
45,BSEFO,837942,2,SENSEX,SENSEX2512176500PE,IO,SENSEX-IO,12502100837942,1271.3,19,1000,0.05,20,1,-1,SENSEX,2025-01-21T00:00:00,76500,4,SENSEX 21JAN2025 PE 76500,1,1,SENSEX2512176500PE
46,BSEFO,1164076,2,SENSEX,SENSEX25JAN79300CE,IO,SENSEX-IO,12502801164076,2490.2,135.35,1000,0.05,10,1,-1,SENSEX,2025-01-28T00:00:00,79300,3,SENSEX 28JAN2025 CE 79300,1,1,SENSEX25JAN79300CE
47,BSEFO,1170583,2,SENSEX,SENSEX2510381100CE,IO,SENSEX-IO,12500301170583,29.3,0.05,1000,0.05,10,1,-1,SENSEX,2025-01-03T00:00:00,81100,3,SENSEX 03JAN2025 CE 81100,1,1,SENSEX2510381100CE
48,BSEFO,866728,2,SENSEX,SENSEX25JUN79000CE,IO,SENSEX-IO,12517500866728,6498.6,3062.95,1000,0.05,20,1,-1,SENSEX,2025-06-24T00:00:00,79000,3,SENSEX 24JUN2025 CE 79000,1,1,SENSEX25JUN79000CE
49,BSEFO,825548,2,SENSEX,SENSEX2512182400CE,IO,SENSEX-IO,12502100825548,579.3,0.05,1000,0.05,20,1,-1,SENSEX,2025-01-21T00:00:00,82400,3,SENSEX 21JAN2025 CE 82400,1,1,SENSEX2512182400CE
50,BSEFO,822980,2,BANKEX,BANKEX25FEB59300CE,IO,BANKEX-IO,12505600822980,2050.05,326.65,900,0.05,30,1,-1,BANKEX,2025-02-25T00:00:00,59300,3,BANKEX 25FEB2025 CE 59300,1,1,BANKEX25FEB59300CE
51,BSEFO,1165444,2,BANKEX,BANKEX25JAN60900CE,IO,BANKEX-IO,12502801165444,558.7,0.05,900,0.05,15,1,-1,BANKEX,2025-01-28T00:00:00,60900,3,BANKEX 28JAN2025 CE 60900,1,1,BANKEX25JAN60900CE
52,BSEFO,839154,2,SENSEX,SENSEX2520479200CE,IO,SENSEX-IO,12503500839154,2838.45,309.65,1000,0.05,20,1,-1,SENSEX,2025-02-04T00:00:00,79200,3,SENSEX 04FEB2025 CE 79200,1,1,SENSEX2520479200CE
53,BSEFO,836285,2,SENSEX,SENSEX25JAN85900CE,IO,SENSEX-IO,12502800836285,150.8,7.4,1000,0.05,10,1,-1,SENSEX,2025-01-28T00:00:00,85900,3,SENSEX 28JAN2025 CE 85900,1,1,SENSEX25JAN85900CE
54,BSEFO,838544,2,SENSEX,SENSEX2512175900PE,IO,SENSEX-IO,12502100838544,957.45,11.85,1000,0.05,20,1,-1,SENSEX,2025-01-21T00:00:00,75900,4,SENSEX 21JAN2025 PE 75900,1,1,SENSEX2512175900PE
55,BSEFO,825366,2,SENSEX,SENSEX25FEB85100PE,IO,SENSEX-IO,12505600825366,8768.35,4232.4,1000,0.05,20,1,-1,SENSEX,2025-02-25T00:00:00,85100,4,SENSEX 25FEB2025 PE 85100,1,1,SENSEX25FEB85100PE
56,BSEFO,822347,2,SENSEX,SENSEX2510782400CE,IO,SENSEX-IO,12500700822347,71.5,11.6,1000,0.05,20,1,-1,SENSEX,2025-01-07T00:00:00,82400,3,SENSEX 07JAN2025 CE 82400,1,1,SENSEX2510782400CE
57,BSEFO,823817,2,SENSEX50,SENSEX5025FEB25450CE,IO,SENSEX50-IO,12505600823817,780.45,3.85,1800,0.05,60,1,-1,SNSX50,2025-02-25T00:00:00,25450,3,SENSEX50 25FEB2025 CE 25450,1,1,SENSEX5025FEB25450CE
58,BSEFO,823007,2,BANKEX,BANKEX25FEB58100PE,IO,BANKEX-IO,12505600823007,2332.55,654.75,900,0.05,30,1,-1,BANKEX,2025-02-25T00:00:00,58100,4,BANKEX 25FEB2025 PE 58100,1,1,BANKEX25FEB58100PE
59,BSEFO,825704,2,SENSEX,SENSEX2512183200PE,IO,SENSEX-IO,12502100825704,7322.5,2427.6,1000,0.05,20,1,-1,SENSEX,2025-01-21T00:00:00,83200,4,SENSEX 21JAN2025 PE 83200,1,1,SENSEX2512183200PE
60,BSEFO,837973,2,SENSEX,SENSEX25MAR78100PE,IO,SENSEX-IO,12508400837973,3087.9,1155,1000,0.05,20,1,-1,SENSEX,2025-03-25T00:00:00,78100,4,SENSEX 25MAR2025 PE 78100,1,1,SENSEX25MAR78100PE
61,BSEFO,840870,2,SENSEX50,SENSEX5025MAR24250PE,IO,SENSEX50-IO,12508400840870,471.5,42.8,1800,0.05,60,1,-1,SNSX50,2025-03-25T00:00:00,24250,4,SENSEX50 25MAR2025 PE 24250,1,1,SENSEX5025MAR24250PE
62,BSEFO,1149046,2,SENSEX,SENSEX25SEP78000PE,IO,SENSEX-IO,12527301149046,3695.1,2279,1000,0.05,20,1,-1,SENSEX,2025-09-30T00:00:00,78000,4,SENSEX 30SEP2025 PE 78000,1,1,SENSEX25SEP78000PE
63,BSEFO,824098,2,SENSEX,SENSEX25FEB76100CE,IO,SENSEX-IO,12505600824098,5930.25,1939.45,1000,0.05,20,1,-1,SENSEX,2025-02-25T00:00:00,76100,3,SENSEX 25FEB2025 CE 76100,1,1,SENSEX25FEB76100CE
64,BSEFO,824671,2,BANKEX,BANKEX25JAN63900CE,IO,BANKEX-IO,12502800824671,64.65,0.05,900,0.05,15,1,-1,BANKEX,2025-01-28T00:00:00,63900,3,BANKEX 28JAN2025 CE 63900,1,1,BANKEX25JAN63900CE
65,BSEFO,823979,2,SENSEX,SENSEX25FEB76900PE,IO,SENSEX-IO,12505600823979,2130.3,551,1000,0.05,20,1,-1,SENSEX,2025-02-25T00:00:00,76900,4,SENSEX 25FEB2025 PE 76900,1,1,SENSEX25FEB76900PE
66,BSEFO,1164549,2,SENSEX,SENSEX25JAN79700CE,IO,SENSEX-IO,12502801164549,2213.65,91.45,1000,0.05,10,1,-1,SENSEX,2025-01-28T00:00:00,79700,3,SENSEX 28JAN2025 CE 79700,1,1,SENSEX25JAN79700CE
67,BSEFO,825475,2,SENSEX,SENSEX2512180900CE,IO,SENSEX-IO,12502100825475,1178.25,0.05,1000,0.05,20,1,-1,SENSEX,2025-01-21T00:00:00,80900,3,SENSEX 21JAN2025 CE 80900,1,1,SENSEX2512180900CE
68,BSEFO,1165345,2,BANKEX,BANKEX25JAN59600PE,IO,BANKEX-IO,12502801165345,3448.05,729.85,900,0.05,15,1,-1,BANKEX,2025-01-28T00:00:00,59600,4,BANKEX 28JAN2025 PE 59600,1,1,BANKEX25JAN59600PE
69,BSEFO,825599,2,SENSEX,SENSEX2512184300PE,IO,SENSEX-IO,12502100825599,8429.7,3341.7,1000,0.05,20,1,-1,SENSEX,2025-01-21T00:00:00,84300,4,SENSEX 21JAN2025 PE 84300,1,1,SENSEX2512184300PE
70,BSEFO,839631,2,SENSEX,SENSEX2520477300CE,IO,SENSEX-IO,12503500839631,4330.5,805.8,1000,0.05,20,1,-1,SENSEX,2025-02-04T00:00:00,77300,3,SENSEX 04FEB2025 CE 77300,1,1,SENSEX2520477300CE
71,BSEFO,1165944,2,SENSEX50,SENSEX5025JAN25550PE,IO,SENSEX50-IO,12502801165944,1274.9,163.75,1800,0.05,25,1,-1,SNSX50,2025-01-28T00:00:00,25550,4,SENSEX50 28JAN2025 PE 25550,1,1,SENSEX5025JAN25550PE
72,BSEFO,824158,2,SENSEX,SENSEX25FEB80900CE,IO,SENSEX-IO,12505600824158,2497.6,429.3,1000,0.05,20,1,-1,SENSEX,2025-02-25T00:00:00,80900,3,SENSEX 25FEB2025 CE 80900,1,1,SENSEX25FEB80900CE
73,BSEFO,1165397,2,BANKEX,BANKEX25JAN54700PE,IO,BANKEX-IO,12502801165397,307.75,0.05,900,0.05,15,1,-1,BANKEX,2025-01-28T00:00:00,54700,4,BANKEX 28JAN2025 PE 54700,1,1,BANKEX25JAN54700PE
74,BSEFO,822886,2,SENSEX,SENSEX25FEB80300PE,IO,SENSEX-IO,12505600822886,4461.85,1491.55,1000,0.05,20,1,-1,SENSEX,2025-02-25T00:00:00,80300,4,SENSEX 25FEB2025 PE 80300,1,1,SENSEX25FEB80300PE
75,BSEFO,846540,2,SENSEX,SENSEX25JUN84000CE,IO,SENSEX-IO,12517500846540,3768.5,1468.5,1000,0.05,20,1,-1,SENSEX,2025-06-24T00:00:00,84000,3,SENSEX 24JUN2025 CE 84000,1,1,SENSEX25JUN84000CE
76,BSEFO,824873,2,SENSEX,SENSEX25FEB84400PE,IO,SENSEX-IO,12505600824873,8102,3731.2,1000,0.05,20,1,-1,SENSEX,2025-02-25T00:00:00,84400,4,SENSEX 25FEB2025 PE 84400,1,1,SENSEX25FEB84400PE
77,BSEFO,841859,2,SENSEX,SENSEX2521175600CE,IO,SENSEX-IO,12504200841859,6023.35,1799.65,1000,0.05,20,1,-1,SENSEX,2025-02-11T00:00:00,75600,3,SENSEX 11FEB2025 CE 75600,1,1,SENSEX2521175600CE
78,BSEFO,836286,2,SENSEX,SENSEX2510386000CE,IO,SENSEX-IO,12500300836286,6.2,0.25,1000,0.05,10,1,-1,SENSEX,2025-01-03T00:00:00,86000,3,SENSEX 03JAN2025 CE 86000,1,1,SENSEX2510386000CE
79,BSEFO,824216,2,SENSEX,SENSEX25FEB78600CE,IO,SENSEX-IO,12505600824216,3961.25,941.05,1000,0.05,20,1,-1,SENSEX,2025-02-25T00:00:00,78600,3,SENSEX 25FEB2025 CE 78600,1,1,SENSEX25FEB78600CE
80,BSEFO,823942,2,SENSEX,SENSEX2511483700PE,IO,SENSEX-IO,12501400823942,7942.75,2771.6,1000,0.05,20,1,-1,SENSEX,2025-01-14T00:00:00,83700,4,SENSEX 14JAN2025 PE 83700,1,1,SENSEX2511483700PE
81,BSEFO,842931,2,SENSEX50,SENSEX5025MAR23850CE,IO,SENSEX50-IO,12508400842931,2214.8,855.95,1800,0.05,60,1,-1,SNSX50,2025-03-25T00:00:00,23850,3,SENSEX50 25MAR2025 CE 23850,1,1,SENSEX5025MAR23850CE
82,BSEFO,823329,2,BANKEX,BANKEX25FEB62100PE,IO,BANKEX-IO,12505600823329,5730.5,2570.9,900,0.05,30,1,-1,BANKEX,2025-02-25T00:00:00,62100,4,BANKEX 25FEB2025 PE 62100,1,1,BANKEX25FEB62100PE
83,BSEFO,1168137,2,SENSEX,SENSEX25JAN73800CE,IO,SENSEX-IO,12502801168137,7438.6,2530.1,1000,0.05,10,1,-1,SENSEX,2025-01-28T00:00:00,73800,3,SENSEX 28JAN2025 CE 73800,1,1,SENSEX25JAN73800CE
84,BSEFO,838661,2,SENSEX,SENSEX2512174300CE,IO,SENSEX-IO,12502100838661,6823.15,1916.55,1000,0.05,20,1,-1,SENSEX,2025-01-21T00:00:00,74300,3,SENSEX 21JAN2025 CE 74300,1,1,SENSEX2512174300CE
85,BSEFO,842205,2,BANKEX,BANKEX25MAR55200PE,IO,BANKEX-IO,12508400842205,1077,376.7,900,0.05,30,1,-1,BANKEX,2025-03-25T00:00:00,55200,4,BANKEX 25MAR2025 PE 55200,1,1,BANKEX25MAR55200PE
86,BSEFO,1164776,2,SENSEX,SENSEX25JAN76400PE,IO,SENSEX-IO,12502801164776,1380.65,98.6,1000,0.05,10,1,-1,SENSEX,2025-01-28T00:00:00,76400,4,SENSEX 28JAN2025 PE 76400,1,1,SENSEX25JAN76400PE
87,BSEFO,841890,2,SENSEX,SENSEX2521179800PE,IO,SENSEX-IO,12504200841890,3996.35,1048.05,1000,0.05,20,1,-1,SENSEX,2025-02-11T00:00:00,79800,4,SENSEX 11FEB2025 PE 79800,1,1,SENSEX2521179800PE
88,BSEFO,841919,2,SENSEX,SENSEX2521182000CE,IO,SENSEX-IO,12504200841919,1493.4,120.4,1000,0.05,20,1,-1,SENSEX,2025-02-11T00:00:00,82000,3,SENSEX 11FEB2025 CE 82000,1,1,SENSEX2521182000CE
89,BSEFO,838274,2,SENSEX,SENSEX25MAR75900CE,IO,SENSEX-IO,12508400838274,6760,2738.1,1000,0.05,20,1,-1,SENSEX,2025-03-25T00:00:00,75900,3,SENSEX 25MAR2025 CE 75900,1,1,SENSEX25MAR75900CE
90,BSEFO,820406,2,SENSEX,SENSEX25FEB75900PE,IO,SENSEX-IO,12505600820406,1619.9,397.8,1000,0.05,20,1,-1,SENSEX,2025-02-25T00:00:00,75900,4,SENSEX 25FEB2025 PE 75900,1,1,SENSEX25FEB75900PE
91,BSEFO,839231,2,SENSEX,SENSEX2520474300PE,IO,SENSEX-IO,12503500839231,666.7,84.2,1000,0.05,20,1,-1,SENSEX,2025-02-04T00:00:00,74300,4,SENSEX 04FEB2025 PE 74300,1,1,SENSEX2520474300PE
92,BSEFO,837863,2,SENSEX,SENSEX25MAR77700CE,IO,SENSEX-IO,12508400837863,5370,1891.9,1000,0.05,20,1,-1,SENSEX,2025-03-25T00:00:00,77700,3,SENSEX 25MAR2025 CE 77700,1,1,SENSEX25MAR77700CE
93,BSEFO,839010,2,SENSEX,SENSEX2520480700PE,IO,SENSEX-IO,12503500839010,4759.45,1243.35,1000,0.05,20,1,-1,SENSEX,2025-02-04T00:00:00,80700,4,SENSEX 04FEB2025 PE 80700,1,1,SENSEX2520480700PE
94,BSEFO,822170,2,SENSEX,SENSEX2510782000PE,IO,SENSEX-IO,12500700822170,6359.25,1182.2,1000,0.05,20,1,-1,SENSEX,2025-01-07T00:00:00,82000,4,SENSEX 07JAN2025 PE 82000,1,1,SENSEX2510782000PE
95,BSEFO,823235,2,BANKEX,BANKEX25FEB62500PE,IO,BANKEX-IO,12505600823235,6112.85,2850.35,900,0.05,30,1,-1,BANKEX,2025-02-25T00:00:00,62500,4,BANKEX 25FEB2025 PE 62500,1,1,BANKEX25FEB62500PE
96,BSEFO,839592,2,SENSEX,SENSEX2520476800PE,IO,SENSEX-IO,12503500839592,1761.8,247.1,1000,0.05,20,1,-1,SENSEX,2025-02-04T00:00:00,76800,4,SENSEX 04FEB2025 PE 76800,1,1,SENSEX2520476800PE
97,BSEFO,823912,2,SENSEX50,SENSEX5025FEB25000PE,IO,SENSEX50-IO,12505600823912,825.8,110.5,1800,0.05,60,1,-1,SNSX50,2025-02-25T00:00:00,25000,4,SENSEX50 25FEB2025 PE 25000,1,1,SENSEX5025FEB25000PE
98,BSEFO,842993,2,SENSEX,SENSEX25DEC82000PE,IO,SENSEX-IO,12536400842993,5743,3923.5,1000,0.05,20,1,-1,SENSEX,2025-12-30T00:00:00,82000,4,SENSEX 30DEC2025 PE 82000,1,1,SENSEX25DEC82000PE
99,BSEFO,1107216,2,SENSEX,SENSEX25MAR87000PE,IO,SENSEX-IO,12508401107216,10281,5773.9,1000,0.05,20,1,-1,SENSEX,2025-03-25T00:00:00,87000,4,SENSEX 25MAR2025 PE 87000,1,1,SENSEX25MAR87000PE
100,BSEFO,843043,2,SENSEX,SENSEX26DEC81000PE,IO,SENSEX-IO,12636300843043,4955.2,3883.6,1000,0.05,20,1,-1,SENSEX,2026-12-29T00:00:00,81000,4,SENSEX 29DEC2026 PE 81000,1,1,SENSEX26DEC81000PE
101,BSEFO,823175,2,BANKEX,BANKEX25FEB60900CE,IO,BANKEX-IO,12505600823175,1232.7,120.5,900,0.05,30,1,-1,BANKEX,2025-02-25T00:00:00,60900,3,BANKEX 25FEB2025 CE 60900,1,1,BANKEX25FEB60900CE
